club_name,league_name,country,total_spent_m,total_received_m,net_profit_m,n_buys,n_sells
Benevento Calcio,Serie A,Italy,28.4,4.7,-23.7,17,20
Birmingham City,Premier League,England,23.4,0.0,-23.4,6,5
Blackburn Rovers,Premier League,England,25.0,40.6,15.6,12,21
Blackpool FC,Premier League,England,5.4,0.7,-4.7,11,5
Boavista FC,Liga Nos,Portugal,17.5,32.2,14.7,74,79
Bologna FC 1909,Serie A,Italy,283.5,230.8,-52.8,124,103
Bolton Wanderers,Premier League,England,20.0,17.7,-2.3,13,13
Borussia Dortmund,1 Bundesliga,Germany,876.2,952.3,76.1,75,91
Borussia Mönchengladbach,1 Bundesliga,Germany,301.0,236.0,-65.0,63,68
Brentford FC,Premier League,England,86.2,3.6,-82.6,8,6
Brescia Calcio,Serie A,Italy,26.9,7.1,-19.8,17,8
Brighton & Hove Albion,Premier League,England,383.3,250.9,-132.4,56,50
Burnley FC,Premier League,England,201.3,113.3,-88.1,37,47
